Common Name,Difficulty,Sow Start ,Sow End,Plant Out Start ,Plant Out End,Flower Start,Flower End,Germ Temp Min (°C),Germ Temp Max (°C),Germ Days Min,Germ Days Max,Height (cm),Spread (cm),Spacing (cm),Light,Water Need,Evergreen/ Deciduous,Pollinator Friendly,How to Overwinter,Notes
Dianthus (Perennial Pink),Easy,Jan,Apr,May,Sep,Jun,Sep,15,20,10,30,40,40,40,Full Sun,Moderate,Deciduous,Yes,Cut back after flowering.,
Dicentra (Bleeding Heart),Difficult,Sep,Nov,Apr,May,May,Jun,15,18,90,180,75,60,60,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.,Needs long period of cold stratification.
Echinacea (Coneflower),Moderate,Feb,May,May,Sep,Jul,Oct,15,20,21,90,120,60,60,Full Sun,Moderate,Deciduous,Yes,Leave seed heads for winter.,Can be slow to establish. Needs warmth and light to germinate well.
Echinops (Globe Thistle),Easy,Mar,May,May,Jul,Jul,Sep,18,21,14,28,120,60,60,Full Sun,Dry,Deciduous,Yes,Leave seed heads for winter.,"Has a deep taproot, so use deep pots."
Erigeron (Fleabane),Easy,Mar,May,May,Jun,Jun,Sep,18,21,14,21,20,40,40,Full Sun,Moderate,Deciduous,Yes,Cut back after flowering.,
Eryngium (Sea Holly),Difficult,Sep,Feb,May,Jul,Jul,Sep,15,20,90,180,90,45,45,Full Sun,Dry,Deciduous,Yes,Leave seed heads for winter.,Needs a period of cold stratification to germinate.
Erysimum (perennial Wallflower),Easy,May,Jul,Aug,Oct,Apr,Jul,18,21,14,28,60,50,50,Full Sun,Moderate,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Eucalyptus (Gum tree),Moderate,Feb,Apr,Jun,Jul,–,–,20,25,14,30,1500,800,800,Full Sun,Moderate,Evergreen,Yes,Mulch in Winter.,
Gaillardia (Blanket Flower),Easy,Feb,Apr,May,Jun,Jun,Sep,18,22,10,21,60,45,45,Full Sun,Dry,Deciduous,Yes,Cut back stems in autumn.,
Gaura (Oenothera lindheimeri),Easy,Feb,Apr,May,Jun,Jul,Sep,18,21,14,28,90,50,50,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,"Has a deep taproot, so use deep pots."
Gentiana (Gentian),Difficult,Sep,Nov,Apr,May,–,–,10,15,90,365,15,20,20,Partial Shade,Moist,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,Can have erratic germination. A cold spell can help.
Geranium (Hardy Geranium),Moderate,Oct,Feb,Apr,May,May,Sep,15,20,90,180,45,60,60,Partial Shade,Moderate,Deciduous,Yes,Cut back stems in autumn.,Can have erratic germination. A cold spell can help.
Geum (Avens),Easy,Mar,Jun,May,Sep,May,Aug,18,21,21,35,45,45,45,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,Surface sow seeds. Can be slow to germinate.
Heliopsis (Oxeye sunflower),Easy,Feb,Apr,May,Jun,Jul,Sep,18,21,14,21,120,60,60,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Hellebore (Lenten rose),Moderate,Jun,Aug,Mar,May,Feb,Apr,15,18,180,365,45,45,45,Partial Shade,Moist,Semi-Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.,"Has a double dormancy, needing warm then cold."
Heuchera (Coral bells),Easy,Jan,Mar,May,Jun,Jun,Aug,18,20,21,35,30,40,40,Partial Shade,Moderate,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,"Seeds are like dust. Sow on surface, do not cover. Needs light."
Kniphofia (Red Hot Poker),Moderate,Feb,Apr,May,Jul,Jul,Sep,15,20,21,42,120,60,60,Full Sun,Moist,Deciduous,Yes,Mulch in Winter.,Germination can take time.
Lathyrus (Perennial Sweet Pea),Moderate,Oct,Mar,Apr,May,Jun,Sep,15,20,14,30,180,50,50,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Lavender (Lavandula),Easy,Feb,Apr,May,Jun,Jun,Aug,15,20,21,90,60,75,75,Full Sun,Dry,Evergreen,Yes,Cut back after flowering.,
Leucanthemum (Shasta Daisy),Easy,Feb,May,May,Sep,Jun,Sep,18,22,14,28,75,60,60,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Lewisia (Bitterroot),Difficult,Jan,Feb,Apr,May,May,Jul,15,20,90,180,15,20,20,Full Sun,Dry,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.,Needs a period of cold stratification. 
Liatris spicata (Blazing Star),Easy,Mar,May,Jun,Jul,Jul,Sep,15,20,21,42,90,30,30,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Lobelia (Perennial Lobelia),Easy,Feb,Apr,May,Jun,Jul,Sep,18,21,14,30,90,40,40,Full Sun,Moist,Deciduous,Yes,Mulch in Winter.,
Lupinus (Lupin),Easy,Feb,Apr,May,Sep,Jun,Aug,15,20,10,30,90,75,75,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Lychnis (Campion),Easy,Mar,May,May,Jul,Jun,Aug,18,21,14,28,90,40,40,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Malva (Mallow),Easy,Mar,May,May,Jun,Jul,Sep,18,21,14,28,120,60,60,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Meconopsis (Himalayan Poppy),Difficult,Feb,Apr,May,Jun,May,Jun,15,18,30,90,100,45,45,Partial Shade,Moist,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Monarda (Bee Balm),Easy,Feb,Apr,May,Jun,Jul,Sep,15,20,14,28,90,45,45,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.,
Nepeta (Catmint),Easy,Feb,May,May,Jun,Jun,Sep,15,20,14,30,60,50,50,Full Sun,Moderate,Deciduous,Yes,Cut back after flowering.,
Oenothera (Evening Primrose),Easy,Feb,May,May,Sep,Jul,Sep,15,20,14,28,120,50,50,Full Sun,Dry–Moderate,Deciduous,Yes,Cut back stems in autumn.,
Origanum (Oregano),Easy,Feb,Apr,May,Jun,Jun,Aug,15,20,14,30,45,30,30,Full Sun,Dry–Moderate,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Papaver (Oriental Poppy),Easy,Sep,Feb,May,Sep,Jun,Jul,15,18,21,42,75,45,45,Full Sun,Moderate,Deciduous,Yes,Cut back after flowering.,
Passiflora (Passion Flower),Moderate,Mar,Apr,May,Jun,Jul,Sep,20,25,30,90,400,150,150,Full Sun,Moderate,Deciduous,Yes,Mulch in Winter.,Soak seeds for 48 hours. Germination can be slow and erratic.
Penstemon (Beardtongue),Moderate,Feb,Apr,May,Jun,Jul,Sep,18,21,21,60,75,50,50,Full Sun,Moderate,Deciduous,Yes,Mulch in Winter.,Germination can be erratic. A light covering of vermiculite helps.
Perovskia (Russian Sage),Easy,Feb,Apr,May,Jun,Jul,Sep,15,20,21,35,120,90,90,Full Sun,Dry,Deciduous,Yes,Cut back stems in autumn.,Seed grown plants can be variable. Needs good drainage.
Phlox (Perennial Phlox),Moderate,Feb,Apr,May,Sep,Jul,Sep,18,21,14,28,90,60,60,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.,Needs a period of dark to germinate. Cover seeds well.
Physalis (Chinese Lantern),Easy,Mar,Apr,May,Jun,Jul,Sep,18,21,21,42,75,60,60,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Platycodon (Balloon Flower),Easy,Feb,Apr,May,Jun,Jul,Sep,18,22,14,28,60,30,30,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Polemonium (Jacob’s Ladder),Easy,Mar,May,May,Jun,Jun,Aug,15,20,21,35,60,45,45,Partial Shade,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Potentilla (Cinquefoil),Easy,Mar,May,Jun,Jul,Jun,Sep,15,20,14,28,45,45,45,Full Sun,Moderate,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Primula (Primrose),Moderate,Jun,Aug,Sep,Oct,Mar,May,15,18,21,42,20,25,25,Partial Shade,Moist,Semi-Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.,Can be erratic. Lightly cover seeds.
Pulsatilla (Pasque Flower),Moderate,Jun,Jul,Mar,Apr,Apr,May,15,20,21,42,25,25,25,Full Sun,Moderate,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,Germination is erratic.
"Rudbeckia (Coneflower, e.g. Black-Eyed Susan)",Easy,Feb,May,May,Sep,Aug,Oct,18,22,14,28,60,45,45,Full Sun,Moderate,Deciduous,Yes,Leave seed heads for winter.,
Salvia (Hardy Sage),Easy,Mar,May,May,Sep,Jun,Oct,18,21,14,28,60,45,45,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Saxifraga (Rockfoil),Moderate,Feb,Apr,May,Jun,Apr,Jun,15,30,21,42,15,30,30,Partial Shade,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.,Sow on the surface.
Scabiosa (Pincushion Flower),Easy,Feb,Apr,May,Jun,Jun,Sep,18,21,14,28,60,40,40,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Sedum (Stonecrop; Hylotelephium),Easy,Feb,Apr,May,Jun,Aug,Oct,18,22,14,28,60,60,60,Full Sun,Dry,Deciduous,Yes,Leave seed heads for winter.,Sow on surface.
Sidalcea (Prairie mallow),Easy,Mar,May,May,Jun,Jul,Aug,18,21,14,28,90,50,50,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.,
Silene (Campion),Easy,Feb,May,May,Jun,May,Jul,18,22,14,28,40,30,30,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Thalictrum (Meadow Rue),Moderate,Sep,Nov,Apr,May,Jun,Aug,15,18,90,180,150,60,60,Partial Shade,Moist,Deciduous,No,Cut back stems in autumn.,
Verbascum (Mullein),Easy,Feb,May,May,Sep,Jun,Aug,18,22,14,30,120,45,45,Full Sun,Dry,Deciduous,Yes,Cut back stems in autumn.,
Verbena bonariensis (Purpletop Vervain),Moderate,Jan,Mar,May,Jul,Jul,Oct,18,27,14,90,180,60,60,Full Sun,Dry–Moderate,Deciduous,Yes,Leave seed heads for winter.,Can have erratic germination. Needs a period of cold stratification.
Veronica (Speedwell),Easy,Feb,Apr,May,Jun,Jun,Aug,18,21,14,28,45,45,45,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
