Common Name,Difficulty,Sow Start,Sow End,Plant Out Start,Plant Out End,Flower Start,Flower End,Germ Temp Min (°C),Germ Temp Max (°C),Germ Days Min,Germ Days Max,Height (cm),Spread (cm),Spacing (cm),Light,Water Need,Pollinator Friendly,How to Overwinter,Notes,,
Nemesia,Easy,Feb,Apr,May,Jun,Jun,Sep,15,20,14,21,30,25,25,Full Sun,Moist,Yes,"Take cuttings, Lift and pot plant before first frost.",,,
Nemophila (Baby Blue Eyes),Easy,Mar,May,Apr,May,Jun,Aug,15,18,7,14,20,25,25,Partial Shade,Moist,Yes,,,,
Nicotiana (Tobacco Plant),Easy,Feb,Apr,May,Jun,Jul,Oct,18,22,14,21,120,45,45,Partial Shade,Moist,Yes,,,,
Nigella (Love-in-a-Mist),Easy,Mar,May,Apr,May,Jun,Aug,18,21,7,14,45,30,30,Full Sun,Moderate,Yes,,,,
Orlaya grandiflora,Moderate,Sep,Apr,Mar,May,Jun,Aug,15,18,14,21,60,30,30,Full Sun,Moderate,Yes,,Benefits from a period of cold.,,
Pansy / Viola,Easy,Jun,Aug,Sep,Oct,Feb,Jun,15,20,14,21,20,25,25,Partial Shade,Moist,Yes,Leave in ground (fully hardy) Mulch in Winter.,,,
Pelargonium (Tender Geranium),Moderate,Jan,Mar,May,Jun,Jun,Oct,21,24,7,28,45,40,40,Full Sun,Dry-Mod,No,"Take cuttings, Lift and pot plant before first frost.",,,
Petunia / Surfinia,Moderate,Feb,Mar,May,Jun,Jun,Oct,21,27,7,14,40,60,60,Full Sun,Moderate,Yes,"Take cuttings, Lift and pot plant before first frost.",,,
Annual Phlox (Phlox drummondii),Easy,Mar,Apr,May,Jun,Jul,Sep,16,18,10,20,45,30,30,Full Sun,Moist,Yes,,Do not cover seed as it needs light to germinate.,,
Poppy (Annual),Easy,Mar,May,Apr,May,Jun,Aug,15,18,14,21,60,30,30,Full Sun,Dry-Mod,Yes,,,,
Portulaca,Easy,Mar,May,May,Jun,Jul,Sep,21,25,10,14,15,30,30,Full Sun,Dry,Yes,,,,
Ricinus (Castor Oil Plant),Moderate,Feb,Apr,May,Jun,N/A,N/A,20,24,15,30,180,100,100,Full Sun,Moist,No,,Soak seeds for 24 hours.,,
Rudbeckia (Annual),Easy,Feb,May,May,Jun,Aug,Oct,20,24,10,21,60,45,45,Full Sun,Moderate,Yes,,,,
Salpiglossis,Difficult,Feb,Mar,May,Jun,Jul,Sep,21,24,15,25,60,30,30,Full Sun,Moist,Yes,,,,
Salvia (Annual),Easy,Jan,Mar,May,Jun,Jun,Oct,21,24,10,20,30,30,30,Full Sun,Moderate,Yes,"Take cuttings, Lift and pot plant before first frost.",,,
Sanvitalia (Creeping Zinnia),Easy,Mar,Apr,May,Jun,Jul,Sep,18,21,10,14,15,40,40,Full Sun,Moderate,Yes,,,,
Saponaria (Soapwort),Easy,Mar,May,Apr,May,Jun,Aug,18,22,14,21,45,30,30,Full Sun,Moderate,Yes,,,,
Scabiosa (Annual),Easy,Mar,May,Apr,May,Jul,Oct,18,21,14,21,90,40,40,Full Sun,Moderate,Yes,,,,
Schizanthus (Poor Man’s Orchid),Moderate,Feb,Apr,May,Jun,Jun,Aug,16,18,14,21,40,30,30,Partial Shade,Moist,Yes,"Take cuttings, Lift and pot plant before first frost.",Pinch out tips to encourage bushiness.,,
Statice (Limonium),Easy,Feb,Apr,May,Jun,Jul,Sep,18,24,14,21,60,30,30,Full Sun,Dry,Yes,,,,
Stocks (Matthiola),Easy,Feb,Apr,Apr,May,Jun,Aug,18,21,7,14,45,30,30,Full Sun,Moist,Yes,,,,
Sunflower,Easy,Mar,May,May,Jun,Jul,Sep,18,22,7,14,250,60,60,Full Sun,Moist,Yes,,,,
Sweet Pea,Easy,Oct,Mar,Apr,May,Jun,Sep,15,18,10,21,180,30,20,Full Sun,Moist,Yes,,,,
Sweet William (Dianthus),Easy,May,Jul,Aug,Sep,May,Jul,18,21,10,20,45,30,30,Full Sun,Moderate,Yes,Leave in ground (fully hardy) Mulch in Winter.,,,
Thunbergia (Black-eyed Susan Vine),Moderate,Feb,Mar,May,Jun,Jul,Oct,20,24,14,21,180,40,40,Full Sun,Moist,Yes,"Take cuttings, Lift and pot plant before first frost.",Soak seeds for 24 hours before sowing.,,
Tithonia (Mexican Sunflower),Easy,Mar,Apr,May,Jun,Jul,Oct,21,24,7,14,150,60,60,Full Sun,Moderate,Yes,,,,
Torenia (Wishbone Flower),Moderate,Feb,Mar,May,Jun,Jul,Sep,21,24,10,15,30,30,30,Partial Shade,Moist,Yes,"Take cuttings, Lift and pot plant before first frost.",,,
Verbena (Annual),Difficult,Jan,Mar,May,Jun,Jul,Oct,21,24,20,90,45,45,45,Full Sun,Moderate,Yes,"Take cuttings, Lift and pot plant before first frost.",,,
Vinca (Annual Periwinkle),Moderate,Feb,Apr,May,Jun,Jul,Oct,22,26,14,21,40,30,30,Full Sun,Moderate,No,"Take cuttings, Lift and pot plant before first frost.",,,
Wallflower (Erysimum cheiri),Easy,May,Jul,Aug,Sep,Apr,Jun,18,21,14,21,45,35,35,Full Sun,Moderate,Yes,Leave in ground (fully hardy) Mulch in Winter.,,,
Zinnia,Moderate,Apr,May,May,Jun,Jul,Oct,21,24,7,10,75,30,30,Full Sun,Moderate,Yes,,,,
Zinnia,Moderate,Apr,May,May,Jun,Jul,Oct,21,24,7,10,75,30,30,Full Sun,Moderate,Yes,,,,
